task,demo_episodes,camera_id,train_steps,batch_size,eval_episodes,encoder,seed,success_rate,mean,std,row_type
button-press,25,0,20000,32,20,droid,0,1.0,1.0,0.0,per_seed
button-press,25,0,20000,32,20,droid,1,1.0,1.0,0.0,per_seed
button-press,25,0,20000,32,20,droid,2,1.0,1.0,0.0,per_seed
assembly,25,0,20000,32,20,droid,0,0.1,0.0833,0.0624,per_seed
assembly,25,0,20000,32,20,droid,1,0.15,0.0833,0.0624,per_seed
assembly,25,0,20000,32,20,droid,2,0.0,0.0833,0.0624,per_seed
bin-picking,25,0,20000,32,20,droid,0,0.3,0.5833,0.2248,per_seed
bin-picking,25,0,20000,32,20,droid,1,0.6,0.5833,0.2248,per_seed
bin-picking,25,0,20000,32,20,droid,2,0.85,0.5833,0.2248,per_seed
drawer-open,25,0,20000,32,20,droid,0,1.0,1.0,0.0,per_seed
drawer-open,25,0,20000,32,20,droid,1,1.0,1.0,0.0,per_seed
drawer-open,25,0,20000,32,20,droid,2,1.0,1.0,0.0,per_seed
hammer,25,0,20000,32,20,droid,0,1.0,0.8833,0.165,per_seed
hammer,25,0,20000,32,20,droid,1,1.0,0.8833,0.165,per_seed
hammer,25,0,20000,32,20,droid,2,0.65,0.8833,0.165,per_seed
AVERAGE,25,all,20000,32,20,droid,all,N/A,0.71,0.0904,summary
